Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
f`a`a@MDTBHeDYEEEheJeFB``bZj@@@ !B?`BH@k\BbGw~@Ox@bOrw?K_|?`BH?Xc|bOvH?Oy?,,EN300-1709454,Enamine,262.14,"3,5-dichloro-2-hydroxy-N-(2-methylpropyl)benzamide",0.1,252,USD,0.03,CC(C)CNC(c1cc(Cl)cc(Cl)c1O)=O
f`aAb@BJtBHRYg]eUgHHBjj`@@ !B?Hc}b@C~_?{|b@JH@Ox@?orw@O{}m?rw_?x@?gvw,,EN300-118522,Enamine,244.72,"2-chloro-4-(2,2-diethoxyethyl)phenol",0.1,407,USD,0,CCOC(Cc(cc1)cc(Cl)c1O)OCC
f`a@R@B\]xDPdsOKksAPPQSS@@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@K~_?x@m?vw@oy?,,EN300-07838,Enamine,242.66,3-(3-chloro-5-ethoxy-4-hydroxyphenyl)prop-2-enoic acid,0.1,66,USD,10,CCOc1cc(C=CC(O)=O)cc(Cl)c1O
f`a@R@BLMXDQdTTTtVTjxJBHJfh@@ !BmpK~@K]}b@Jw@oy?mpJw__x@m?vw@k\Bb@K~@Hc|,,EN300-30198827,Enamine,244.67,ethyl 3-chloro-2-hydroxy-4-methoxy-6-methylbenzoate,0.1,347,USD,10,CCOC(c(c(O)c1Cl)c(C)cc1OC)=O
eodXJH@EBKGO@`HcHhhllheEJeEEDdefNJnekcghHBjfZj@@@BBBQ@@ !B?g~H_[]}b@K~_?y?m?vw?[\Bm?w~@K\BmpJH@ox@m?vw@k_}s}Hqorn{YVC_fUR{wz[_ifT_YQ}eXER{,,EN300-3445498,Enamine,437.88,(2S)-3-(3-chloro-4-hydroxyphenyl)-2-({[(9H-fluoren-9-yl)methoxy]carbonyl}amino)propanoic acid,0.1,19,USD,0.256,OC([C@H](Cc(cc1)cc(Cl)c1O)NC(OCC1c(cccc2)c2-c2c1cccc2)=O)=O
ek`\BD@IODbHic`HapHrJJKKQJJIQiQISIc`spY[XzB@jfZZ`BJH`@@ !B?`Bw@h`Bm?w~@Ox@b@JH@ox@bGvH@h`B?g?~@Ha}bGvw?Xc}?g~H_X`B?g~H_Xa}XAk~_rqgXFT,,EN300-26638604,Enamine,431.9,"N-[(1,3-dioxaindan-5-yl)methyl]-4-(3-chloro-4-hydroxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide",0.1,525,USD,0.559,CC(NC(NC1c(cc2)cc(Cl)c2O)=S)=C1C(NCc(cc1)cc2c1OCO2)=O
ek`XFL@CBEMLjf`HcbHdBLbbbtQdLRRTTRJRXD|BzFvN``bVjjej@BACqAH@ !Bs}Hq`F]SFBsOtl?RLXAgTv]STq`lYv]SGqk~_uMgGvU??fT_Tv]SFM~YUKl_Fa}em?vw?K_|mwt,,EN300-7547610,Enamine,456.3,"(3S,4S)-4-(1-benzofuran-2-yl)-1-(3,5-dichloro-4-hydroxybenzenesulfonyl)pyrrolidine-3-carboxylic acid",0.1,491,USD,0.515,OC([C@H](CN(C1)S(c(cc2Cl)cc(Cl)c2O)(=O)=O)[C@@H]1c1cc2ccccc2[o]1)=O
ek`TJH@GHb@dic`HcHhhlmEDhhkeDeLfNKGAemchHBijfZ@Hhb@@@ !B?`Bw@h`Bm?w~@Ox@b@JH@ha}?`BH@oy?b@K~@Ha}m?vH?_x@?g~H_X`B?g~H_Xa}XAk~_rqgXFT,,EN300-26638605,Enamine,414.84,"N-[(1,3-dioxaindan-5-yl)methyl]-4-(3-chloro-4-hydroxyphenyl)-2-methyl-6-oxo-1,4,5,6-tetrahydropyridine-3-carboxamide",0.1,624,USD,0.06,CC(NC(CC1c(cc2)cc(Cl)c2O)=O)=C1C(NCc(cc1)cc2c1OCO2)=O
ek`RDL@IODfbH`HapHjBLbbbrtRbbTZTRRRXxL|zFvN``JiffjZ@B@@@ !B?K\@?ovw@h`Bm?rw_[_}m?rw_?{}m?vw?Xc|mw?~_?{|bG?~_Xa??eMgTq`_Fa}em?vw?K_|mwt,,EN300-26664207,Enamine,444.97,"N-[(1,3-benzothiazol-2-yl)methyl]-4-(3-chloro-4-hydroxyphenyl)-6-methyl-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide",0.1,535,USD,0.08,CC(NC(NC1c(cc2)cc(Cl)c2O)=S)=C1C(NCc1nc2ccccc2[s]1)=O
eghTLD@EMBNO@HbzHrJJKQFJIQKIIFIKLBNAUM[GPPQUTtDD@D@@@@ !Bm?w~_{\BbOvw?[_}?g~w?K\B?`Bw?[\Bb@Jw@ox@mww~@K_}mpJH@k\Bmww~@H`BmpK~@Ox@m?s~@@,,EN300-37402270,Enamine,443.33,"2-(3-chloro-4,5-dihydroxyphenyl)-3-[3-(4-chlorophenyl)propyl]-1,2,3,4-tetrahydroquinazolin-4-one",0.1,719,USD,0.59,Oc1cc(C(Nc2ccccc22)N(CCCc(cc3)ccc3Cl)C2=O)cc(Cl)c1O
e`\ZLD@IODjfbHc`HapHrJJKKQJJIQiQJJKKL\F^CKO_PPETsSTuPHAP@@@ !BbGvH@oy??`BH_Xa}?g?~_xa}mww~_?y?mpJH?[_}m?w~@K]}mpJw_[\B?g~w_[_}bOw~_{\B?g~w?[]}mpH,,EN300-26664206,Enamine,469.95,"4-(3-chloro-4-hydroxyphenyl)-6-methyl-N-[(3-methyl-4-oxo-3,4-dihydroquinazolin-2-yl)methyl]-2-sulfanylidene-1,2,3,4-tetrahydropyrimidine-5-carboxamide",0.1,535,USD,0.233,CC(NC(NC1c(cc2)cc(Cl)c2O)=S)=C1C(NCC(N1C)=Nc(cccc2)c2C1=O)=O
do~L`EJ[BHRYg^uVzB@fj`@@ !B?`Bw?Hc|m?w~@Ox@b@JH@ox@bGvH@ha}b@JH_P,,EN300-118125,Enamine,229.66,3-chloro-4-hydroxy-N-(2-methoxyethyl)benzamide,0.1,152,USD,0.765,COCCNC(c(cc1)cc(Cl)c1O)=O
do~L`AI]BHRYg]mfzB@ij`@@ !B?`Bw@h`Bmww~@Ox@bOrH?Hc}?g~H?Hc}bOs~_p,,EN300-264458,Enamine,229.66,propan-2-yl N-(3-chloro-4-hydroxyphenyl)carbamate,0.1,152,USD,6.714,CC(C)OC(Nc(cc1)cc(Cl)c1O)=O
do~LINI]BHNPnP^Pz]yIf^VzXXHHfj@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@k]}@k_}b@,,EN300-7390503,Enamine,241.55,2-chloro-6-nitro-4-(trifluoromethyl)phenol,0.1,39,USD,10,[O-][N+](c1cc(C(F)(F)F)cc(Cl)c1O)=O
do~JaFJUNpbFe^rJJJYSF[a`bAih@@ !B?`Bw@h`Bmww~@Ha}?`BH@oy?b@K~@K\Bb@K~@@,,EN300-7418818,Enamine,231.59,methyl 4-chloro-3-hydroxy-5-nitrobenzoate,0.1,136,USD,0,COC(c(cc1[N+]([O-])=O)cc(O)c1Cl)=O
do~JaNI]NpbNg^rJJKQJZUa``bYh@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@?g~H@k\Bb@K~@@,,EN300-24835586,Enamine,231.59,methyl 3-chloro-4-hydroxy-5-nitrobenzoate,0.5,19,USD,10,COC(c(cc1[N+]([O-])=O)cc(Cl)c1O)=O
do~HPEHHbXaIf^_Z[hHBjj@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@K~@Ox@@Oy??`,,EN300-164147,Enamine,248.15,"2-[(tert-butylamino)methyl]-4,6-dichlorophenol",0.1,257,USD,0.125,CC(C)(C)NCc1cc(Cl)cc(Cl)c1O
do~D`EJPbDfYwnYn``Ijh@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@K~@Ha}bOrw?@,,EN300-119370,Enamine,227.69,3-chloro-4-hydroxy-N-methyl-N-(propan-2-yl)benzamide,0.1,152,USD,0.102,CC(C)N(C)C(c(cc1)cc(Cl)c1O)=O
do|JpDp{\Hb@bXcHiCDeEeAVV@Hi`@@ !B?K^w_PJwb@JH__x@b@JH@ha}?`C~@H`Bb@Jw@`,,EN300-6504497,Enamine,271.08,3-chloro-5-(chlorosulfonyl)-2-hydroxybenzoic acid,0.1,98,USD,10,OC(c1cc(S(Cl)(=O)=O)cc(Cl)c1O)=O
do|JpBt{\Hc`aYAIf^VnXXHHiV@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@?[^H_PJHb@Jw@`,,EN300-727193,Enamine,254.62,3-chloro-5-(fluorosulfonyl)-4-hydroxybenzoic acid,0.1,241,USD,10,OC(c(cc1S(F)(=O)=O)cc(Cl)c1O)=O
do|JpDsk\Hb@aXcHiCEEhcIvVBBI`@@ !B@hbH_PJHmpJw__x@?g~w@k\Bmww~@Ox@b@Jw@`,,EN300-77836,Enamine,271.08,3-chloro-5-(chlorosulfonyl)-4-hydroxybenzoic acid,0.1,32,USD,10,OC(c(cc1Cl)cc(S(Cl)(=O)=O)c1O)=O
do|BpDsSBH`HfHrJPqIQYXUe`BJh@@ !B?K^w_PJwb@JH__x@b@JH@ha}?`C~@H`Bb@K~@@,,EN300-6493431,Enamine,271.12,3-chloro-5-ethoxy-4-hydroxybenzene-1-sulfonyl chloride,0.1,396,USD,5.38,CCOc1cc(S(Cl)(=O)=O)cc(Cl)c1O
do|B`B[SBHrJJJZEPka`bBfh@@ !BmpK~@K]}b@Jw@oy?mpJw__x@mpJw@h`B?`BH?@,,EN300-30208756,Enamine,230.65,"ethyl 3-chloro-2,4-dihydroxy-6-methylbenzoate",0.1,277,USD,10,CCOC(c(c(O)c1Cl)c(C)cc1O)=O
dmvLaAJUBHFUyIf]yn``I`@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@H,,EN300-18946,Enamine,173.55,2-chloro-4-nitrophenol,0.25,19,USD,10,[O-][N+](c(cc1)cc(Cl)c1O)=O
dmvLaNJUBHzUyIf^ya``a`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[\Bb@H,,EN300-105512,Enamine,173.55,2-chloro-6-nitrophenol,0.25,19,USD,10,[O-][N+](c1cccc(Cl)c1O)=O
dmvLaAJUBHFUyIf_Yn``I`@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@H,,EN300-49224,Enamine,173.55,2-chloro-5-nitrophenol,0.25,19,USD,10,[O-][N+](c(cc1)cc(O)c1Cl)=O
dmvHpBDHahaXcHhhii^fBHb@@ !Bmwvw@oy??`Bw_Xa}mwvw@oy?mwt,,EN300-119075,Enamine,212.46,"2-amino-3,4,6-trichlorophenol",0.1,152,USD,6.067,Nc(c(O)c(cc1Cl)Cl)c1Cl
dmvH`IHHaIf[ya``b`@@ !Bmww~_{\BbGvw_[]}?`Bw@k\Bb@H,,EN300-257285,Enamine,171.63,3-(1-aminoethyl)-2-chlorophenol,0.1,366,USD,0.047,CC(c1cccc(O)c1Cl)N
dmvH`IHHaIf]un``J`@@ !BmpJw__x@?g~w@k\B?`C~@H`B?`@,,EN300-1966593,Enamine,171.63,2-chloro-4-[(methylamino)methyl]phenol,0.1,136,USD,0,CNCc(cc1)cc(Cl)c1O
dmvH`EHHaIf]Un``Jp@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@b@H,,EN300-1698891,Enamine,167.6,5-chloro-4-hydroxy-2-methylbenzonitrile,0.1,337,USD,2.581,Cc(c(C#N)c1)cc(O)c1Cl
dmvH`EHHaIf[}a``bp@@ !Bmww~_{\BbGvw_[]}?`Bw@h`BbOp,,EN300-3199031,Enamine,167.6,2-(2-chloro-3-hydroxyphenyl)acetonitrile,0.1,241,USD,10,N#CCc1cccc(O)c1Cl
dmvHPNHHaYAIf^]a``b`@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@H,,EN300-6759109,Enamine,175.59,2-amino-6-chloro-3-fluoro-4-methylphenol,0.1,723,USD,2.77,Cc(c(F)c1N)cc(Cl)c1O
dmvHPEHHbYAIf^Ua``bp@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}?`@,,EN300-295409,Enamine,171.56,3-chloro-5-fluoro-2-hydroxybenzonitrile,0.1,257,USD,6.305,N#Cc1cc(F)cc(Cl)c1O
dmvHPEHLShcHhhmDVFBBK@@ !BmpJw__x@?g~w@k\Bmww~@Ox@?`@,,EN300-3186167,Enamine,232.46,3-bromo-5-chloro-4-hydroxybenzonitrile,0.1,83,USD,10,N#Cc(cc1Cl)cc(Br)c1O
dmvHPEHHbPaIf]yn``I`@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@H,,EN300-1231830,Enamine,187.65,3-chloro-4-hydroxybenzene-1-carbothioamide,0.1,129,USD,10,NC(c(cc1)cc(Cl)c1O)=S
dmvHPAXHbXaIfY[e`bN@@@ !Bmwvw@oy??`Bw_Xa}mww~@K\B?g|,,EN300-7396367,Enamine,188.01,"2,6-dichloro-3-hydroxybenzonitrile",0.1,122,USD,10,N#Cc(c(Cl)ccc1O)c1Cl
dmvD`EJPbDfY{fFBBF@@ !BmpK~@K]}b@Jw@k\B?`Bw_[\Bb@H,,EN300-6771457,Enamine,171.58,3-chloro-2-hydroxybenzamide,0.1,151,USD,8.611,NC(c1cccc(Cl)c1O)=O
dmvD`EJPbDfYwfzB@f@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@H,,EN300-206411,Enamine,171.58,3-chloro-4-hydroxybenzamide,0.1,45,USD,10,NC(c(cc1)cc(Cl)c1O)=O
dmuHPIT`bAdDfYuvzB@j@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@b@H,,EN300-6769035,Enamine,176.58,2-chloro-4-fluoro-5-hydrazinylphenol,0.1,366,USD,10,NNc(c(F)c1)cc(O)c1Cl
dmtL`BePbDfYwfzB@f@@ !BmpJw__x@?g~w@k\B?`C~@H`BmpH,,EN300-21598,Enamine,172.57,3-chloro-4-hydroxybenzoic acid,0.25,19,USD,10,OC(c(cc1)cc(Cl)c1O)=O
dmtL`BePbDfYmnFBHF@@ !Bmww~_{\BbGvw__x@mwvw@h`BmpH,,EN300-123515,Enamine,172.57,2-chloro-3-hydroxybenzoic acid,0.1,40,USD,7.979,OC(c1cccc(O)c1Cl)=O
dmtL`BePbDfYoVFBBF@@ !Bmww~_{\BbGvw_[]}?`Bw@h`Bmwt,,EN300-7726659,Enamine,172.57,"2-chloro-3,5-dihydroxybenzaldehyde",0.1,515,USD,1.661,Oc(cc1C=O)cc(O)c1Cl
dmtL`ByPbLbbbtQXXHHd@@ !BmpJw__x@?g~w@k\Bmww~@Ox@b@H,,EN300-12031,Enamine,172.57,"3-chloro-4,5-dihydroxybenzaldehyde",0.1,83,USD,10,Oc1cc(C=O)cc(Cl)c1O
dmtL`BEPbDfYnvfBBa@@ !Bmww~_{\BbGvw_[]}?`C~_{\Bb@H,,EN300-6767999,Enamine,172.57,"2-chloro-3,4-dihydroxybenzaldehyde",0.1,96,USD,10,Oc1ccc(C=O)c(Cl)c1O
dmtL`BePbDfY}fzB@f@@ !B?`BH@k\BbGw~@Ox@mpK~@H`BmpH,,EN300-101007,Enamine,172.57,4-chloro-3-hydroxybenzoic acid,0.25,19,USD,10,OC(c(cc1)cc(O)c1Cl)=O
dmtL`BePbDfY{fFBBF@@ !BmpK~@K]}b@Jw@k\B?`Bw_X`BmpH,,EN300-50295,Enamine,172.57,3-chloro-2-hydroxybenzoic acid,0.25,19,USD,10,OC(c1cccc(Cl)c1O)=O
dmtLPBePbNhDfYofFBBJ@@ !Bmww~_{\BbGvw_[]}?`Bw@h`BmpH,,EN300-121926,Enamine,172.38,(2-chloro-3-hydroxyphenyl)boronic acid,0.1,203,USD,10,OB(c1cccc(O)c1Cl)O
dmtLPBePbAhDfY}fzB@j@@ !B?`BH@k\BbGw~@Ox@mpK~@H`BmpH,,EN300-6768332,Enamine,172.38,(4-chloro-3-hydroxyphenyl)boronic acid,0.1,351,USD,0,OB(c(cc1)cc(O)c1Cl)O
dmtLPBePbAhDfYwfzB@j@@ !BmpJw__x@?g~w@k\B?`C~@H`BmpH,,EN300-1704508,Enamine,172.38,(3-chloro-4-hydroxyphenyl)boronic acid,0.1,138,USD,0,OB(c(cc1)cc(Cl)c1O)O
dmtHpBBHFPVHRYfyZXHJH@@ !Bmww~_{\BbGvw_[]}?`C~_{\BmpH,,EN300-7426425,Enamine,195.02,"2,4-dichloro-6-fluoro-3-methylphenol",0.1,241,USD,5.59,Cc(c(Cl)c(c(F)c1)O)c1Cl
dmtHpACDXHVHRYVUkh@bh@@ !Bb@K~@Ha}b@JH@ox@bGvH_X`Bb@H,,EN300-28317893,Enamine,253.55,5-bromo-2-chloro-3-(methylsulfanyl)phenol,0.1,644,USD,0.369,CSc(cc(cc1O)Br)c1Cl
dmtD`BxHaIf^Ua``b`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@H,,EN300-6812345,Enamine,172.61,2-chloro-6-methoxy-4-methylphenol,0.1,241,USD,10,Cc(cc1OC)cc(Cl)c1O
dmtD`BdHaIf_Yn``I`@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@H,,EN300-179326,Enamine,170.6,1-(4-chloro-3-hydroxyphenyl)ethan-1-one,0.1,337,USD,0.429,CC(c(cc1)cc(O)c1Cl)=O
dmtD`BdHcHhhmDVzB@j@@ !BmpJw__x@?g~w@k\B?`Bw__x@b@H,,EN300-262276,Enamine,172.61,2-chloro-4-methoxy-6-methylphenol,0.1,535,USD,2.71,Cc1cc(OC)cc(Cl)c1O
dmtD`BdHaIf]yn``I`@@ !BmpJw__x@?g~w@k\B?`C~@K\Bb@H,,EN300-78388,Enamine,170.6,1-(3-chloro-4-hydroxyphenyl)ethan-1-one,0.1,19,USD,10,CC(c(cc1)cc(Cl)c1O)=O
dmtD`BTHaIf]un``J`@@ !BmpJw__x@?g~w@k\B?`C~@H`B?`@,,EN300-1702915,Enamine,172.61,2-chloro-4-(2-hydroxyethyl)phenol,0.1,132,USD,10,OCCc(cc1)cc(Cl)c1O
dmtD`BTHcHhhmDVzB@i@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}?g|,,EN300-6777502,Enamine,170.6,3-chloro-4-hydroxy-5-methylbenzaldehyde,0.1,135,USD,10,Cc1cc(C=O)cc(Cl)c1O
dmtD`BTHaIf^]n``JP@@ !Bb@JH__x@?g~H@h`B?`BH__x@b@H,,EN300-200900,Enamine,170.6,3-chloro-2-hydroxy-5-methylbenzaldehyde,0.1,62,USD,10,Cc(cc1C=O)cc(Cl)c1O
dmtD`BTHaIf^un``JP@@ !B?`BH@k\BbGw~@Ox@mpJH@ox@?`@,,EN300-1249149,Enamine,170.6,3-chloro-2-hydroxy-6-methylbenzaldehyde,0.1,152,USD,10,Cc(cc1)c(C=O)c(O)c1Cl
dmtD`BDHaIf[ei``h`@@ !BmpJw__x@?g~w@k\Bb@Jw__x@?`@,,EN300-6812554,Enamine,172.61,"3-chloro-4,5-dimethylbenzene-1,2-diol",0.1,644,USD,0.577,Cc(cc1O)c(C)c(Cl)c1O
dmtDPNTLPhcHhhmBfFBBI@@ !B?`BH@k\BbGw~@Ox@b@Jw@ox@b@H,,EN300-6495917,Enamine,235.46,4-bromo-3-chloro-2-hydroxybenzaldehyde,0.1,241,USD,10,Oc1c(C=O)ccc(Br)c1Cl
dmtDPITLQhaIeYvn`BJP@@ !Bb@JH__x@b@JH@ha}?`C~@H`Bb@H,,EN300-30918,Enamine,235.46,5-bromo-3-chloro-2-hydroxybenzaldehyde,0.1,35,USD,10,Oc(c(C=O)cc(Br)c1)c1Cl
dmtDPITLQhaIeYvn`BJ`@@ !Bb@JH__x@b@JH@ha}?`C~@H`Bb@H,,EN300-6776562,Enamine,237.48,4-bromo-2-chloro-6-(hydroxymethyl)phenol,0.1,176,USD,10,OCc1cc(Br)cc(Cl)c1O
dmtDPBxHbYAIf^Ua``b`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}b@H,,EN300-27722216,Enamine,176.57,2-chloro-4-fluoro-6-methoxyphenol,0.1,277,USD,10,COc1cc(F)cc(Cl)c1O
dmtDPBdHchcHhhmDVFBBJ@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@H,,EN300-261717,Enamine,193.03,"2,6-dichloro-4-methoxyphenol",0.1,212,USD,1.997,COc(cc1Cl)cc(Cl)c1O
dmtDPBTLShcHhhmDVFBBI@@ !BmpJw__x@?g~w@k\Bmww~@Ox@b@H,,EN300-7418405,Enamine,235.46,3-bromo-5-chloro-4-hydroxybenzaldehyde,0.25,19,USD,10,Oc(c(Cl)cc(C=O)c1)c1Br
dmtDPBTHbYAIf^un``JP@@ !Bb@K~@Ha}mpJH@h`BbGw~@H`Bb@H,,EN300-5025528,Enamine,174.56,3-chloro-6-fluoro-2-hydroxybenzaldehyde,0.1,87,USD,3.967,Oc(c(C=O)c(cc1)F)c1Cl
dmtDPBTHchcHhhmDVFBBI@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@H,,EN300-307613,Enamine,191.01,"3,5-dichloro-4-hydroxybenzaldehyde",0.25,19,USD,10,Oc(c(Cl)cc(C=O)c1)c1Cl
dmtDPBTHciCHhhmDVFBBI@@ !BmpJw__x@?g~w@k\Bmww~@Ox@b@H,,EN300-255185,Enamine,174.56,3-chloro-5-fluoro-4-hydroxybenzaldehyde,0.25,19,USD,10,Oc(c(F)cc(C=O)c1)c1Cl
dmtDPBTHbYAIf]Un``JP@@ !Bb@JH__x@?g~H@h`B?`C~@H`Bb@H,,EN300-134044,Enamine,174.56,5-chloro-2-fluoro-4-hydroxybenzaldehyde,0.1,46,USD,0.158,Oc(cc(c(C=O)c1)F)c1Cl
dmtDPBTHbXaIf^un``JP@@ !Bb@K~@Ha}mpJH@h`BbGw~@H`Bb@H,,EN300-257092,Enamine,191.01,"3,6-dichloro-2-hydroxybenzaldehyde",0.1,96,USD,10,Oc(c(C=O)c(cc1)Cl)c1Cl
dmtDPBTHbXaIf^]n``JP@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@H,,EN300-21561,Enamine,191.01,"3,5-dichloro-2-hydroxybenzaldehyde",0.5,19,USD,10,Oc(c(C=O)cc(Cl)c1)c1Cl
dmtDPBTHbXaIf[Ua``bP@@ !Bmww~_{\BbGvw_[]}?`Bw@k\Bb@H,,EN300-1086816,Enamine,191.01,"2,6-dichloro-3-hydroxybenzaldehyde",0.1,84,USD,10,Oc(ccc(Cl)c1C=O)c1Cl
dmtDPBTHbXaIf]Un``JP@@ !Bb@JH__x@?g~H@h`B?`C~@H`Bb@H,,EN300-119344,Enamine,191.01,"2,5-dichloro-4-hydroxybenzaldehyde",0.1,196,USD,10,Oc(cc(c(C=O)c1)Cl)c1Cl
dmtDPBTHahcHhhii^FBHI@@ !BmpK~@K]}b@Jw@oy?mpJw__x@b@H,,EN300-1249144,Enamine,191.01,"3,4-dichloro-2-hydroxybenzaldehyde",0.1,211,USD,10,Oc(c(C=O)ccc1Cl)c1Cl
dmtDPBDHaXcHhhiiVfBBb@@ !Bmww~_{\BbGvw_[]}?`C~_{\Bmwt,,EN300-6812317,Enamine,193.03,"3,6-dichloro-4-methylbenzene-1,2-diol",0.1,481,USD,10,Cc(c(Cl)c1O)cc(Cl)c1O
dmtDPBDHaXcHhhdiVfBBb@@ !BbGvH@oy??`BH_Xa}b@JH@oy?bGt,,EN300-6812434,Enamine,193.03,"3,6-dichloro-2-methoxyphenol",0.1,298,USD,5.317,COc(c(O)c(cc1)Cl)c1Cl
dmtDPATLRXaIfUUn`HF`@@ !Bmwvw@oy?mww~@K]}?g~H@oy?mwt,,EN300-2008408,Enamine,235.46,2-bromo-4-chloro-5-hydroxybenzaldehyde,0.1,326,USD,1.967,Oc(c(Cl)c1)cc(C=O)c1Br
dmVHpBXH`XaXaIf[ci`bH@@ !Bmwvw@oy??`Bw_Xa}mwvw@oy?veD,,EN300-7374781,Enamine,214.48,"3-amino-2,4-dichlorophenol hydrochloride",0.1,30,USD,10,Nc(c(Cl)ccc1O)c1Cl.Cl
dmVHPEhLRHaAYfi``b@@ !BqVzw__y?mpJH?[_}m?w~@K_|b@H,,EN300-37374443,Enamine,238.51,3-(aminomethyl)-2-chlorophenol hydrobromide,0.1,457,USD,10,NCc1cccc(O)c1Cl.Br
dmVHPIHHaXaIf_Qn``J@@ !B?`BH?K_|bOw~@Ox@m?s~@H`B?Kh,,EN300-26204141,Enamine,194.06,5-(aminomethyl)-2-chlorophenol hydrochloride,0.1,34,USD,10,NCc(cc1)cc(O)c1Cl.Cl
dmVHPEhLRHaAYg_a``J@@ !BqXfw?K_}?`C~_{_|m?s~@Ox@b@H,,EN300-370539,Enamine,238.51,4-(aminomethyl)-2-chlorophenol hydrobromide,0.1,272,USD,10,NCc(cc1)cc(Cl)c1O.Br
dmVHPIHHaXcHhhmBFzB@h@@ !Bm?s~@K_}b@Jw@k_|m?w~@H`BvaX,,EN300-736126,Enamine,194.06,2-(aminomethyl)-6-chlorophenol hydrochloride,0.1,252,USD,10,NCc1cccc(Cl)c1O.Cl
dmVHPAHHaXaIf]Qn``J@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@[Oh,,EN300-1719770,Enamine,194.06,4-amino-2-chloro-5-methylphenol hydrochloride,0.1,117,USD,10,Cc(c(N)c1)cc(O)c1Cl.Cl
dmLL`BFPbDfYuVzU``Jb@@ !BbGw~_x`BmwvH_Xa}b@I`FfAeKF\,,EN300-1588900,Enamine,172.57,"6-chloro-1,3-dioxaindan-5-ol",0.1,257,USD,10,Oc(cc1OCOc1c1)c1Cl
dmLL`BYPbDfYm^FU`bBb@@ !B?g~w_Xa}mpK~_v@Z?g~H_RqgXFT,,EN300-7741562,Enamine,172.57,"4-chloro-1,3-dioxaindan-5-ol",0.1,306,USD,10,Oc(ccc1c2OCO1)c2Cl
dmLL`ByPbDfY{VFU``bb@@ !BbGvH@oy??`BH_Xa}XAk~_rqgXFT,,EN300-6793393,Enamine,172.57,"5-chloro-1,3-dioxaindan-4-ol",0.1,306,USD,9.484,Oc(c1c(cc2)OCO1)c2Cl
dmLH`BBHRYg^[iVB@jH@@ !Bmwvw@oy??`Bw_[_}?g?~_wvw@k\,,EN300-222515,Enamine,168.62,2-chloro-4-cyclopropylphenol,0.1,366,USD,2.932,Oc(ccc(C1CC1)c1)c1Cl
dmLHPBBHdHRYfuXYVBBIH@@ !B?g~w_Xa}mpK~_?y?XAjH_VAeKF\,,EN300-6812377,Enamine,184.65,4-chloro-1-benzothiophen-5-ol,0.1,505,USD,4.513,Oc(ccc1c2cc[s]1)c2Cl
dknLqBFUBHZHNHJY{Hhhhhi~vBHZH@@ !Bmwvw@oy??`Bw_Xa}mwvw@h`BmpK~_{]},,EN300-117188,Enamine,242.45,"3,4,6-trichloro-2-nitrophenol",0.1,34,USD,8.117,[O-][N+](c(c(O)c(cc1Cl)Cl)c1Cl)=O
dknLpIx]BHHHNHrJJIRIUe``VJ@@ !Bmwvw@oy??`Bw_[]}@Oy??ox@?g?~_{]},,EN300-280811,Enamine,242.08,"2,5-dichloro-4-hydroxybenzene-1-sulfonamide",0.1,376,USD,10,NS(c(cc(c(O)c1)Cl)c1Cl)(=O)=O
dknLpCI]BHzHdHrJJKQFQa``bV@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@@Oy??ox@,,EN300-278362,Enamine,242.08,"3,5-dichloro-4-hydroxybenzene-1-sulfonamide",0.1,426,USD,0.799,NS(c(cc1Cl)cc(Cl)c1O)(=O)=O
dknLpCE]BHJHXHRYfyki`bHV@@ !Bmww~_{\BbGvw__x@mww~_{\B@Oy??ox@,,EN300-280809,Enamine,242.08,"2,3-dichloro-4-hydroxybenzene-1-sulfonamide",0.1,470,USD,3.19,NS(c(c(Cl)c1Cl)ccc1O)(=O)=O
