Structure [idcode],Compound-ID,Product-ID,Provider,Molweight,Substance Name,Amount (g),Price,Currency,Stock (g),Smiles
dmtD`BdJqIf_Yn``I`@@ !B?`BH@k\BbGw~@Ox@mpK~@K\Bb@H,,EN300-6811202,Enamine,262.04,1-(3-hydroxy-4-iodophenyl)ethan-1-one,0.1,241,USD,10,CC(c(cc1)cc(O)c1I)=O
dmtDPBTJsjsHhhmDVFBBI@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@H,,EN300-345099,Enamine,373.91,"4-hydroxy-3,5-diiodobenzaldehyde",0.5,19,USD,10,Oc(c(I)cc(C=O)c1)c1I
dmtDPBTJsjsHhhmDVFBBJ@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@H,,EN300-2272222,Enamine,375.92,"4-(hydroxymethyl)-2,6-diiodophenol",0.1,322,USD,10,OCc(cc1I)cc(I)c1O
dmtDPBTJrZqIf^]n``JP@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@H,,EN300-18189,Enamine,373.91,"2-hydroxy-3,5-diiodobenzaldehyde",0.5,19,USD,10,Oc(c(C=O)cc(I)c1)c1I
dmtDPBTJr\QIf^]n``JP@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@H,,EN300-6774757,Enamine,326.91,5-bromo-2-hydroxy-3-iodobenzaldehyde,0.1,153,USD,10,Oc(c(C=O)cc(Br)c1)c1I
dmtDPBTJqhcHhhii^FBHI@@ !BmpK~@K]}b@Jw@oy?mpJw__x@b@H,,EN300-174008,Enamine,282.46,4-chloro-2-hydroxy-3-iodobenzaldehyde,0.1,54,USD,10,Oc(c(C=O)ccc1Cl)c1I
dmMH`Fd`kDfYm^FU`bBa@@ !B?g~w_Xa}mpK~_v@Z?g~H_RqgXFT,,EN300-4263530,Enamine,260.03,7-iodo-1H-indazol-6-ol,0.1,277,USD,10,Oc(ccc1c2[nH]nc1)c2I
dmLH`BBlRYfuXYVBBJH@@ !B?g~w_Xa}mpK~_?y?XAjH_VAeKF\,,EN300-33479991,Enamine,260.07,"4-iodo-2,3-dihydro-1H-inden-5-ol",0.1,241,USD,10,Oc(ccc1c2CCC1)c2I
dknL`IKSBlRYgmya``cf@@ !Bb@K~@Ha}mpJH@h`B?`BH__x@b@JH__x@,,EN300-7440706,Enamine,289.02,2-cyano-3-hydroxy-4-iodobenzoic acid,0.1,706,USD,1.239,N#Cc(c(O)c(cc1)I)c1C(O)=O
dknL`FI]BlrJJJXj[a`bBZ@@ !B?`BH@k\BbGw~@K]}?`Bw@ox@mpJH@ox@,,EN300-8333220,Enamine,293.06,methyl 3-amino-5-hydroxy-4-iodobenzoate,0.1,470,USD,0,COC(c(cc1N)cc(O)c1I)=O
dknLPFKSBlVlRYf{[i`bHf@@ !Bmww~_{\BbGvw__x@mww~_{\BmpJw?Xc},,EN300-210234,Enamine,404.92,"4-amino-2-hydroxy-3,5-diiodobenzoic acid",0.1,144,USD,2.367,Nc(c(I)c(c(C(O)=O)c1)O)c1I
dkmLaNLetJsiwdfYy[XXHHfp@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@?g~H@ox@,,EN300-55806,Enamine,290.01,4-hydroxy-3-iodo-5-nitrobenzonitrile,1,19,USD,10,N#Cc(cc1[N+]([O-])=O)cc(I)c1O
dklLPBtpkNdLbbbtQTXXHHi`@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@b@K~@Ha},,EN300-46526565,Enamine,296.03,2-(3-fluoro-4-hydroxy-5-iodophenyl)acetic acid,0.1,140,USD,10,OC(Cc(cc1F)cc(I)c1O)=O
dklLPBtpkIqDfYy~[hHBi`@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@K~@Ha},,EN300-46967419,Enamine,356.94,2-(5-bromo-2-hydroxy-3-iodophenyl)acetic acid,0.1,176,USD,10,OC(Cc1cc(Br)cc(I)c1O)=O
dklLPBXpkIkLbbbbTUyXHbb`@@ !Bmww~_{\BbGvw__x@mwvH@oy?mpJH@k]},,EN300-52696469,Enamine,405.95,"2,4-diiodo-3,5-dimethoxyphenol",0.1,277,USD,1.389,COc(c(I)c1OC)cc(O)c1I
dklLPBWPkNqLbbbtQfXXHHf`@@ !BmpJw__x@?g~w@k\Bmww~@Ox@mpJH@ox@,,EN300-761354,Enamine,356.94,methyl 3-bromo-4-hydroxy-5-iodobenzoate,0.1,277,USD,10,COC(c(cc1Br)cc(I)c1O)=O
dklLPBWPkIqLbbbtReXXHHf`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@ox@,,EN300-1696602,Enamine,356.94,methyl 5-bromo-2-hydroxy-3-iodobenzoate,0.1,62,USD,10,COC(c1cc(Br)cc(I)c1O)=O
dklLPBWPkIbLbbbtReXXHHf`@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@ox@,,EN300-8153392,Enamine,312.49,methyl 5-chloro-2-hydroxy-3-iodobenzoate,0.1,176,USD,10,COC(c1cc(Cl)cc(I)c1O)=O
dklHPBBlFlRYgWin``Jj@@ !B?`Bw@h`Bmww~@Ox@b@JH@ox@?`@@?g?~,,EN300-342741,Enamine,402,"5-tert-butyl-2,4-diiodophenol",0.1,113,USD,10,CC(C)(C)c(c(I)c1)cc(O)c1I
dk^HPNHJrZqIf^UvGS``B@@@@ !Bm?rw?_x@?g~w?K\Bm?w~@Ox@m?rw@ox@,,EN300-18288,Enamine,396.95,"5,7-diiodoquinolin-8-ol",1,19,USD,10,Oc(c1ncccc1c(I)c1)c1I
dk^HPNHJrXaIf^UvGS``B@@@@ !Bm?rw?_x@?g~w?K\Bm?w~@Ox@m?rw@ox@,,EN300-20836,Enamine,305.5,5-chloro-7-iodoquinolin-8-ol,1,19,USD,10,Oc(c1ncccc1c(Cl)c1)c1I
dkLLqBWPkIkCtMxyRYgeaa``bX@@ !BmpK~@K]}b@Jw@k\B?`Bw_[]}mpJH@oxB,,EN300-61986,Enamine,411.89,"sodium 2-hydroxy-3,5-diiodobenzoate",1,19,USD,10,[O-]C(c1cc(I)cc(I)c1O)=O.[Na+]
didH`BBlRYgvzB@`@@ !B?`BH@k\BbGw~@Ox@mpK~@@,,EN300-97437,Enamine,234.03,2-iodo-5-methylphenol,0.1,78,USD,10,Cc(cc1)cc(O)c1I
didH`BBlRYgVzB@`@@ !BmpJw__x@?g~w@k\B?`C~@@,,EN300-96174,Enamine,234.03,2-iodo-4-methylphenol,1,19,USD,10,Cc(cc1)cc(I)c1O
didH`BBlRYfvFBB@@@ !Bmww~_{\BbGvw_[]}?`Bw@`,,EN300-125193,Enamine,234.03,2-iodo-3-methylphenol,0.1,58,USD,10,Cc1cccc(O)c1I
didHPFBlJPRYf~FBH@@@ !Bmww~_{\BbGvw__x@mwvw@`,,EN300-113286,Enamine,237.99,3-fluoro-2-iodophenol,0.1,62,USD,10,Oc1cccc(F)c1I
didHPFBlKDRYf~FBH@@@ !Bmww~_{\BbGvw__x@mwvw@`,,EN300-268661,Enamine,298.9,3-bromo-2-iodophenol,1,19,USD,10,Oc1cccc(Br)c1I
didHPBBlzlRYgfFBB@@@ !BbGvH@oy??`BH_Xa}b@K~_p,,EN300-318142,Enamine,345.9,"2,6-diiodophenol",0.1,313,USD,10,Oc(c(I)ccc1)c1I
didHPBBlFlRYgVzB@`@@ !Bmwvw@oy??`Bw_[]}?g?~_p,,EN300-6495058,Enamine,345.9,"2,4-diiodophenol",0.1,42,USD,10,Oc(ccc(I)c1)c1I
didHPBBlzHRYgfFBB@@@ !Bmwvw@oy??`Bw_[]}mpK~_p,,EN300-3218271,Enamine,254.45,2-chloro-6-iodophenol,0.1,19,USD,10,Oc(c(Cl)ccc1)c1I
didHPBBlGDRYgVzB@`@@ !Bmwvw@oy??`Bw_[]}?g?~_p,,EN300-101034,Enamine,298.9,4-bromo-2-iodophenol,0.1,19,USD,10,Oc(ccc(Br)c1)c1I
didHPBBlGDRYgvzB@`@@ !Bmwvw@oy??`Bw_[]}?g~w_P,,EN300-213246,Enamine,298.9,5-bromo-2-iodophenol,0.25,19,USD,10,Oc(cc(cc1)Br)c1I
didHPBBlFHRYgvzB@`@@ !Bmwvw@oy??`Bw_[]}?g~w_P,,EN300-2207668,Enamine,254.45,5-chloro-2-iodophenol,0.5,19,USD,10,Oc(cc(cc1)Cl)c1I
didD`BxJqIf^XXHH@@ !BmpK~@K]}b@Jw@k\B?`Bw_P,,EN300-1272342,Enamine,236,"3-iodobenzene-1,2-diol",0.1,187,USD,10,Oc1cccc(I)c1O
didD`BXJqIf[xXH`@@ !Bmwvw@oy??`Bw_Xa}mww~_p,,EN300-7409179,Enamine,236,"2-iodobenzene-1,3-diol",0.1,26,USD,4.683,Oc1cccc(O)c1I
didD`BDJqIf_[hHB@@ !B?`BH@k\BbGw~@Ox@mpK~@@,,EN300-4931294,Enamine,236,"4-iodobenzene-1,3-diol",0.1,241,USD,0,Oc(cc1)cc(O)c1I
dg^L`EH{BlRYg]n[hHBjXbT@ !BmpJw__x@?g~w@k\B?`C~@H`BbGw~@Hc|m?p,,EN300-6495864,Enamine,307.08,(2S)-2-amino-3-(4-hydroxy-3-iodophenyl)propanoic acid,0.5,19,USD,10,N[C@@H](Cc(cc1)cc(I)c1O)C(O)=O
dg\LPBtpkIqDfYy~vzB@jZ@@ !BmpK~@K]}b@Jw@k\Bmww~@K]}b@JH__x@bOp,,EN300-51660652,Enamine,370.96,methyl 2-(5-bromo-2-hydroxy-3-iodophenyl)acetate,0.1,176,USD,10,COC(Cc1cc(Br)cc(I)c1O)=O
dg\LPBtpkNdLbbbtQTsCAAEM@@@ !BmpJw__x@?g~w@k\Bmww~@Ox@b@JH__x@bOp,,EN300-46752630,Enamine,310.06,methyl 2-(3-fluoro-4-hydroxy-5-iodophenyl)acetate,0.1,109,USD,10,COC(Cc(cc1F)cc(I)c1O)=O
dg\DhBdJslSY@yByCHhhmDUHppPQUP@@ !Bmwvw@oy??`Bw_[]}mpK~_?y?m?vw?PJw?X`,,EN300-45165646,Enamine,382.9,2-bromo-6-iodo-4-(trifluoromethoxy)phenol,0.1,241,USD,10,Oc(c(Br)cc(OC(F)(F)F)c1)c1I
deVH`IHJqIf]vzB@l@@ !BmpJw__x@?g~w@k\B?`C~@Ox@,,EN300-195995,Enamine,245.01,4-hydroxy-3-iodobenzonitrile,0.1,21,USD,9.898,N#Cc(cc1)cc(I)c1O
deVH`IHJqIf_VzB@l@@ !B?`BH@k\BbGw~@Ox@mpK~@Ox@,,EN300-192875,Enamine,245.01,3-hydroxy-4-iodobenzonitrile,0.1,23,USD,8.604,N#Cc(cc1)cc(O)c1I
deVHPIHJsjqIf^VFBBH@@ !Bb@JH__x@?g~H@h`BbGw~@Ox@,,EN300-395907,Enamine,360.91,"4-amino-2,6-diiodophenol",0.1,113,USD,10,Nc(cc1I)cc(I)c1O
deTHpFBlJPGDRYf{i`bH@@ !Bmww~_{\BbGvw__x@mww~_{\B,,EN300-20822709,Enamine,316.89,4-bromo-3-fluoro-2-iodophenol,0.1,132,USD,8.623,Oc(c(I)c1F)ccc1Br
deTHpFBlKDFHRYf{i`bH@@ !Bmww~_{\BbGvw__x@mww~_{\B,,EN300-52148077,Enamine,333.35,3-bromo-4-chloro-2-iodophenol,0.1,306,USD,10,Oc(c(I)c1Br)ccc1Cl
deTHpFBlJHfHrJJJX|LDPP@@ !Bmww~_{\BbGvw__x@mwvw@k]},,EN300-1073214,Enamine,288.89,"3,5-dichloro-2-iodophenol",0.1,90,USD,10,Oc1cc(Cl)cc(Cl)c1I
deTHpBBlzlflRYgea``b@@ !BbGvH@oy??`BH_Xa}b@K~_?y?,,EN300-19379,Enamine,471.79,"2,4,6-triiodophenol",0.5,19,USD,10,Oc(c(I)cc(I)c1)c1I
deTHpBBlzlfHRYgea``b@@ !BbGvH@oy??`BH_Xa}b@K~_?y?,,EN300-210270,Enamine,380.34,"4-chloro-2,6-diiodophenol",1,19,USD,10,Oc(c(I)cc(Cl)c1)c1I
deTHpBBlzHgDRYgea``b@@ !Bmwvw@oy??`Bw_[]}mpK~_?y?,,EN300-1238335,Enamine,333.35,4-bromo-2-chloro-6-iodophenol,0.1,54,USD,10,Oc(c(Cl)cc(Br)c1)c1I
deTHPBBlfHRYgUn``J@@ !Bb@JH__x@?g~H@h`B?`C~@H`B,,EN300-22997104,Enamine,268.48,5-chloro-2-iodo-4-methylphenol,0.1,202,USD,10,Cc(c(Cl)c1)cc(I)c1O
deTD`BdJqIf_VzB@d@@ !B?`BH@k\BbGw~@Ox@mpK~@H`B,,EN300-268673,Enamine,248.01,3-hydroxy-4-iodobenzaldehyde,0.5,19,USD,10,Oc(cc(C=O)cc1)c1I
deTD`BdJqIf_VzB@h@@ !B?`BH@k\BbGw~@Ox@mpK~@H`B,,EN300-1707306,Enamine,250.03,5-(hydroxymethyl)-2-iodophenol,0.5,19,USD,10,OCc(cc1)cc(O)c1I
dclLPBGPkIBDfYu]neXHBiH@@ !BbGw~_xc|m?vH?Xa}bOq`FfAeKF\@?`,,EN300-373704,Enamine,294.06,"5-hydroxy-6-iodo-2H-1,3-benzoxathiol-2-one",0.1,554,USD,5.558,Oc(cc(c(O1)c2)SC1=O)c2I
dclH`BBlRYfuvE]``@@@@ !B?`BH?K_|bOw~@Ox@m?vw?K_|m?rw?P,,EN300-111546,Enamine,270.07,1-iodonaphthalen-2-ol,0.1,20,USD,10,Oc(ccc1ccccc11)c1I
